text,label
Fantastic product,1
Top quality,1
I love this,1
Highly recommended,1
Five stars,1
I hate this,0
Would not recommend,0
Awful experience,0
Five stars,1
Would not recommend,0
Five stars,1
Very dissatisfied,0
Terrible product,0
Would not recommend,0
Terrible product,0
Highly recommended,1
Very disappointing,0
Top quality,1
Super happy,1
I love this,1
I love this,1
Absolutely wonderful,1
Poor quality,0
Super happy,1
Not worth it,0
I love this,1
Awful experience,0
Super happy,1
Top quality,1
Terrible product,0
Would not recommend,0
Absolutely wonderful,1
Worst ever,0
Top quality,1
Would not recommend,0
Very disappointing,0
Not worth it,0
Awful experience,0
Super happy,1
Absolutely wonderful,1
I hate this,0
Perfect!,1
Highly recommended,1
Very disappointing,0
Poor quality,0
Would not recommend,0
Very disappointing,0
One star,0
Perfect!,1
Would not recommend,0
Five stars,1
I hate this,0
So satisfied,1
Perfect!,1
Worst ever,0
Amazing experience,1
Five stars,1
Worst ever,0
Not worth it,0
I love this,1
Poor quality,0
Fantastic product,1
I love this,1
Super happy,1
So satisfied,1
I hate this,0
Would not recommend,0
One star,0
Amazing experience,1
Not worth it,0
Fantastic product,1
Five stars,1
Super happy,1
Five stars,1
Perfect!,1
Absolutely wonderful,1
Very dissatisfied,0
Would not recommend,0
Five stars,1
Absolutely wonderful,1
I hate this,0
Very dissatisfied,0
Very disappointing,0
Fantastic product,1
Not worth it,0
I love this,1
Awful experience,0
Would not recommend,0
Amazing experience,1
Highly recommended,1
Awful experience,0
Poor quality,0
I hate this,0
Highly recommended,1
Would not recommend,0
Top quality,1
Worst ever,0
I hate this,0
Not worth it,0
One star,0
Terrible product,0
Not worth it,0
Amazing experience,1
So satisfied,1
Terrible product,0
Poor quality,0
Fantastic product,1
Very dissatisfied,0
Poor quality,0
Awful experience,0
Poor quality,0
Amazing experience,1
Very dissatisfied,0
So satisfied,1
Awful experience,0
I love this,1
One star,0
Very disappointing,0
Absolutely wonderful,1
One star,0
Top quality,1
Poor quality,0
Super happy,1
Would not recommend,0
Would not recommend,0
Amazing experience,1
Worst ever,0
Not worth it,0
Awful experience,0
Very disappointing,0
Very dissatisfied,0
Fantastic product,1
Would not recommend,0
Super happy,1
Awful experience,0
Amazing experience,1
Fantastic product,1
Absolutely wonderful,1
Very dissatisfied,0
Perfect!,1
Top quality,1
Fantastic product,1
Amazing experience,1
Very dissatisfied,0
Top quality,1
Would not recommend,0
Very dissatisfied,0
Five stars,1
I love this,1
Awful experience,0
Top quality,1
Would not recommend,0
Five stars,1
Top quality,1
Highly recommended,1
Super happy,1
Worst ever,0
Absolutely wonderful,1
Very disappointing,0
Awful experience,0
Super happy,1
I love this,1
Perfect!,1
I love this,1
Five stars,1
Terrible product,0
I hate this,0
Fantastic product,1
Terrible product,0
Amazing experience,1
I love this,1
Would not recommend,0
Absolutely wonderful,1
Five stars,1
Fantastic product,1
Perfect!,1
Very dissatisfied,0
Highly recommended,1
Highly recommended,1
Fantastic product,1
Top quality,1
I love this,1
Would not recommend,0
Amazing experience,1
Awful experience,0
Not worth it,0
Not worth it,0
One star,0
Highly recommended,1
Perfect!,1
Perfect!,1
Fantastic product,1
Super happy,1
Worst ever,0
I love this,1
I hate this,0
I love this,1
Very dissatisfied,0
Very dissatisfied,0
Highly recommended,1
I love this,1
Worst ever,0
Would not recommend,0
I love this,1
Amazing experience,1
I love this,1
Poor quality,0
So satisfied,1
Awful experience,0
Worst ever,0
Poor quality,0
Terrible product,0
Very dissatisfied,0
One star,0
Terrible product,0
One star,0
Perfect!,1
I love this,1
Super happy,1
Very dissatisfied,0
Perfect!,1
Poor quality,0
Five stars,1
Worst ever,0
Super happy,1
Very dissatisfied,0
Fantastic product,1
Very disappointing,0
Highly recommended,1
Very dissatisfied,0
Poor quality,0
So satisfied,1
I hate this,0
I hate this,0
Amazing experience,1
Worst ever,0
I love this,1
I love this,1
Very disappointing,0
I love this,1
Five stars,1
Fantastic product,1
Would not recommend,0
Top quality,1
Super happy,1
Amazing experience,1
Very dissatisfied,0
Very dissatisfied,0
Worst ever,0
Perfect!,1
Not worth it,0
One star,0
Top quality,1
Super happy,1
Not worth it,0
Absolutely wonderful,1
Five stars,1
Poor quality,0
Five stars,1
Poor quality,0
Absolutely wonderful,1
Highly recommended,1
Highly recommended,1
Very disappointing,0
One star,0
Amazing experience,1
Worst ever,0
One star,0
Fantastic product,1
Top quality,1
Very disappointing,0
Amazing experience,1
Top quality,1
Fantastic product,1
Absolutely wonderful,1
Super happy,1
Awful experience,0
I hate this,0
Terrible product,0
Super happy,1
Poor quality,0
Perfect!,1
I hate this,0
Amazing experience,1
Super happy,1
Awful experience,0
Very dissatisfied,0
Absolutely wonderful,1
Poor quality,0
Not worth it,0
Very dissatisfied,0
Worst ever,0
Would not recommend,0
Not worth it,0
Very disappointing,0
Awful experience,0
Terrible product,0
I hate this,0
Worst ever,0
Highly recommended,1
Terrible product,0
Poor quality,0
Super happy,1
I love this,1
Top quality,1
Amazing experience,1
Would not recommend,0
Fantastic product,1
Terrible product,0
Would not recommend,0
Very disappointing,0
Very dissatisfied,0
Terrible product,0
Very dissatisfied,0
I love this,1
Not worth it,0
Perfect!,1
One star,0
Absolutely wonderful,1
Highly recommended,1
Poor quality,0
Not worth it,0
Perfect!,1
Amazing experience,1
Poor quality,0
Poor quality,0
Absolutely wonderful,1
I love this,1
Not worth it,0
Terrible product,0
Fantastic product,1
Terrible product,0
Highly recommended,1
Amazing experience,1
Amazing experience,1
I love this,1
Very dissatisfied,0
Worst ever,0
Very dissatisfied,0
I hate this,0
I hate this,0
Highly recommended,1
Poor quality,0
Awful experience,0
Worst ever,0
Amazing experience,1
One star,0
Super happy,1
I hate this,0
Terrible product,0
Not worth it,0
Not worth it,0
I hate this,0
Awful experience,0
Amazing experience,1
Amazing experience,1
Fantastic product,1
Very disappointing,0
Poor quality,0
Absolutely wonderful,1
Would not recommend,0
Top quality,1
Not worth it,0
Would not recommend,0
So satisfied,1
One star,0
Very dissatisfied,0
Fantastic product,1
Not worth it,0
Amazing experience,1
Terrible product,0
Fantastic product,1
I love this,1
Very dissatisfied,0
Five stars,1
So satisfied,1
Amazing experience,1
I love this,1
Highly recommended,1
One star,0
Poor quality,0
Fantastic product,1
Would not recommend,0
Terrible product,0
Not worth it,0
Absolutely wonderful,1
Perfect!,1
Worst ever,0
One star,0
Fantastic product,1
Poor quality,0
Very disappointing,0
Would not recommend,0
Five stars,1
Would not recommend,0
Awful experience,0
Terrible product,0
One star,0
Very dissatisfied,0
Fantastic product,1
Absolutely wonderful,1
Worst ever,0
So satisfied,1
Fantastic product,1
Very dissatisfied,0
I love this,1
Awful experience,0
So satisfied,1
I hate this,0
Five stars,1
One star,0
Not worth it,0
Five stars,1
Fantastic product,1
Top quality,1
Not worth it,0
Very disappointing,0
Fantastic product,1
Top quality,1
Perfect!,1
So satisfied,1
Amazing experience,1
Amazing experience,1
I love this,1
Worst ever,0
Terrible product,0
Very dissatisfied,0
Amazing experience,1
Absolutely wonderful,1
Awful experience,0
Worst ever,0
Five stars,1
Super happy,1
Not worth it,0
Would not recommend,0
So satisfied,1
I love this,1
Very dissatisfied,0
Awful experience,0
One star,0
Top quality,1
Awful experience,0
Would not recommend,0
Perfect!,1
Highly recommended,1
Super happy,1
Fantastic product,1
Very disappointing,0
Not worth it,0
Highly recommended,1
Fantastic product,1
Perfect!,1
Fantastic product,1
Very dissatisfied,0
Highly recommended,1
Five stars,1
Would not recommend,0
Top quality,1
One star,0
Would not recommend,0
I hate this,0
Amazing experience,1
Awful experience,0
Top quality,1
Perfect!,1
So satisfied,1
I love this,1
I love this,1
Awful experience,0
Five stars,1
Perfect!,1
I love this,1
Terrible product,0
Highly recommended,1
Very dissatisfied,0
Not worth it,0
Very disappointing,0
Five stars,1
Poor quality,0
Amazing experience,1
Terrible product,0
Worst ever,0
I hate this,0
Would not recommend,0
Fantastic product,1
Would not recommend,0
Not worth it,0
Absolutely wonderful,1
So satisfied,1
Five stars,1
Awful experience,0
Top quality,1
Five stars,1
So satisfied,1
One star,0
Would not recommend,0
I hate this,0
Very disappointing,0
I hate this,0
Amazing experience,1
Not worth it,0
Absolutely wonderful,1
Terrible product,0
Not worth it,0
Very dissatisfied,0
Top quality,1
Would not recommend,0
Amazing experience,1
Awful experience,0
Super happy,1
Terrible product,0
So satisfied,1
Amazing experience,1
Very disappointing,0
Would not recommend,0
Very disappointing,0
Would not recommend,0
One star,0
Awful experience,0
Perfect!,1
Fantastic product,1
Highly recommended,1
Super happy,1
Five stars,1
One star,0
Terrible product,0
Worst ever,0
One star,0
So satisfied,1
Poor quality,0
Absolutely wonderful,1
Very dissatisfied,0
I love this,1
Not worth it,0
Poor quality,0
So satisfied,1
Very disappointing,0
Super happy,1
Five stars,1
Fantastic product,1
Awful experience,0
I love this,1
Amazing experience,1
Absolutely wonderful,1
Poor quality,0
I love this,1
Would not recommend,0
Fantastic product,1
One star,0
So satisfied,1
Super happy,1
I hate this,0
I hate this,0
Fantastic product,1
Fantastic product,1
Top quality,1
Highly recommended,1
Not worth it,0
Poor quality,0
I hate this,0
Terrible product,0
Would not recommend,0
So satisfied,1
I love this,1
Perfect!,1
Highly recommended,1
Amazing experience,1
Amazing experience,1
Perfect!,1
Super happy,1
Top quality,1
Very dissatisfied,0
Amazing experience,1
Terrible product,0
Absolutely wonderful,1
Absolutely wonderful,1
Fantastic product,1
Poor quality,0
Very disappointing,0
Top quality,1
Fantastic product,1
Five stars,1
Amazing experience,1
Five stars,1
Super happy,1
Not worth it,0
Terrible product,0
So satisfied,1
I hate this,0
Super happy,1
Would not recommend,0
Five stars,1
I hate this,0
Top quality,1
One star,0
Amazing experience,1
Amazing experience,1
Super happy,1
Would not recommend,0
Very dissatisfied,0
Highly recommended,1
So satisfied,1
Would not recommend,0
Amazing experience,1
Top quality,1
Absolutely wonderful,1
Terrible product,0
Would not recommend,0
Highly recommended,1
Five stars,1
Absolutely wonderful,1
One star,0
Super happy,1
So satisfied,1
Super happy,1
Awful experience,0
Very dissatisfied,0
Fantastic product,1
Absolutely wonderful,1
One star,0
One star,0
Amazing experience,1
I hate this,0
Would not recommend,0
I love this,1
Perfect!,1
Super happy,1
Highly recommended,1
Would not recommend,0
Top quality,1
Awful experience,0
Not worth it,0
Five stars,1
I hate this,0
Very dissatisfied,0
Amazing experience,1
One star,0
Top quality,1
Five stars,1
I hate this,0
Highly recommended,1
Super happy,1
Poor quality,0
Very dissatisfied,0
Amazing experience,1
Highly recommended,1
Super happy,1
Not worth it,0
I love this,1
One star,0
Fantastic product,1
Terrible product,0
Worst ever,0
Five stars,1
So satisfied,1
Amazing experience,1
Five stars,1
Awful experience,0
Not worth it,0
Very disappointing,0
Highly recommended,1
Highly recommended,1
Poor quality,0
Super happy,1
Not worth it,0
Amazing experience,1
Absolutely wonderful,1
I love this,1
Would not recommend,0
Poor quality,0
Top quality,1
Highly recommended,1
Terrible product,0
Not worth it,0
Terrible product,0
Very disappointing,0
Terrible product,0
Absolutely wonderful,1
Awful experience,0
Highly recommended,1
Worst ever,0
Very dissatisfied,0
Perfect!,1
Absolutely wonderful,1
Perfect!,1
Very disappointing,0
Five stars,1
Absolutely wonderful,1
Absolutely wonderful,1
Absolutely wonderful,1
Amazing experience,1
I love this,1
So satisfied,1
Top quality,1
Would not recommend,0
Very dissatisfied,0
Awful experience,0
Fantastic product,1
Fantastic product,1
Absolutely wonderful,1
I hate this,0
Worst ever,0
Top quality,1
Absolutely wonderful,1
Super happy,1
Fantastic product,1
I hate this,0
Would not recommend,0
Worst ever,0
Super happy,1
Top quality,1
Not worth it,0
Very disappointing,0
Fantastic product,1
Absolutely wonderful,1
Not worth it,0
Awful experience,0
Not worth it,0
Highly recommended,1
Very disappointing,0
Awful experience,0
Terrible product,0
Worst ever,0
Super happy,1
Highly recommended,1
Worst ever,0
Very dissatisfied,0
Super happy,1
Very dissatisfied,0
Perfect!,1
Would not recommend,0
Not worth it,0
Would not recommend,0
Absolutely wonderful,1
Top quality,1
Terrible product,0
One star,0
I love this,1
Super happy,1
One star,0
Worst ever,0
Awful experience,0
I hate this,0
Would not recommend,0
Not worth it,0
Very dissatisfied,0
Not worth it,0
I love this,1
I love this,1
Perfect!,1
Five stars,1
I love this,1
Highly recommended,1
Super happy,1
One star,0
Would not recommend,0
Terrible product,0
Top quality,1
Top quality,1
Very disappointing,0
Highly recommended,1
Perfect!,1
Amazing experience,1
Terrible product,0
Amazing experience,1
Very dissatisfied,0
Absolutely wonderful,1
Perfect!,1
I love this,1
I hate this,0
Very disappointing,0
I love this,1
Worst ever,0
Terrible product,0
Worst ever,0
Super happy,1
Absolutely wonderful,1
Amazing experience,1
Would not recommend,0
Awful experience,0
Top quality,1
So satisfied,1
Would not recommend,0
Not worth it,0
Very dissatisfied,0
Five stars,1
Very dissatisfied,0
Not worth it,0
Super happy,1
Highly recommended,1
Very dissatisfied,0
Terrible product,0
Top quality,1
Very disappointing,0
I hate this,0
I love this,1
Perfect!,1
One star,0
Worst ever,0
Top quality,1
Terrible product,0
Very disappointing,0
Perfect!,1
So satisfied,1
Highly recommended,1
I love this,1
Super happy,1
Super happy,1
Would not recommend,0
Perfect!,1
Fantastic product,1
Super happy,1
Very dissatisfied,0
Terrible product,0
Perfect!,1
I hate this,0
Absolutely wonderful,1
Awful experience,0
Would not recommend,0
Five stars,1
Terrible product,0
Awful experience,0
Super happy,1
Poor quality,0
Terrible product,0
Awful experience,0
Amazing experience,1
Perfect!,1
Fantastic product,1
Not worth it,0
I hate this,0
Not worth it,0
Perfect!,1
Very disappointing,0
I hate this,0
Absolutely wonderful,1
Worst ever,0
Not worth it,0
Super happy,1
Absolutely wonderful,1
Poor quality,0
Very disappointing,0
Absolutely wonderful,1
I hate this,0
Awful experience,0
Perfect!,1
Very dissatisfied,0
I hate this,0
Terrible product,0
Terrible product,0
One star,0
I hate this,0
I hate this,0
One star,0
Perfect!,1
Perfect!,1
Super happy,1
I hate this,0
I love this,1
One star,0
Very dissatisfied,0
Perfect!,1
Super happy,1
Perfect!,1
Amazing experience,1
Absolutely wonderful,1
Not worth it,0
Amazing experience,1
Top quality,1
Perfect!,1
Highly recommended,1
Highly recommended,1
Awful experience,0
Not worth it,0
Fantastic product,1
Super happy,1
Awful experience,0
Perfect!,1
Worst ever,0
Amazing experience,1
Top quality,1
Amazing experience,1
Amazing experience,1
Top quality,1
Top quality,1
Top quality,1
Super happy,1
I hate this,0
Super happy,1
So satisfied,1
Not worth it,0
Amazing experience,1
I hate this,0
Very dissatisfied,0
Absolutely wonderful,1
Top quality,1
I love this,1
Terrible product,0
Very disappointing,0
Not worth it,0
Poor quality,0
Five stars,1
Terrible product,0
Highly recommended,1
Would not recommend,0
Perfect!,1
I love this,1
So satisfied,1
Very disappointing,0
Absolutely wonderful,1
Highly recommended,1
Fantastic product,1
Amazing experience,1
Poor quality,0
Perfect!,1
Poor quality,0
Awful experience,0
Highly recommended,1
Absolutely wonderful,1
Terrible product,0
I hate this,0
Five stars,1
Highly recommended,1
Very disappointing,0
Terrible product,0
Perfect!,1
Worst ever,0
Highly recommended,1
Not worth it,0
Amazing experience,1
Top quality,1
One star,0
One star,0
Very disappointing,0
Would not recommend,0
One star,0
Perfect!,1
Five stars,1
Top quality,1
One star,0
Top quality,1
Highly recommended,1
Very dissatisfied,0
Awful experience,0
Would not recommend,0
Very dissatisfied,0
Would not recommend,0
Absolutely wonderful,1
Poor quality,0
So satisfied,1
Highly recommended,1
Amazing experience,1
One star,0
Super happy,1
Poor quality,0
Very dissatisfied,0
Absolutely wonderful,1
Very disappointing,0
Five stars,1
Absolutely wonderful,1
So satisfied,1
I love this,1
Awful experience,0
Very disappointing,0
Awful experience,0
Fantastic product,1
Very disappointing,0
Absolutely wonderful,1
Awful experience,0
One star,0
Worst ever,0
Not worth it,0
Worst ever,0
Top quality,1
Not worth it,0
Absolutely wonderful,1
One star,0
Top quality,1
Amazing experience,1
Perfect!,1
I hate this,0
Would not recommend,0
So satisfied,1
Terrible product,0
Poor quality,0
Fantastic product,1
Very disappointing,0
I hate this,0
Very dissatisfied,0
Worst ever,0
Not worth it,0
Would not recommend,0
Awful experience,0
I love this,1
Very dissatisfied,0
Not worth it,0
So satisfied,1
Absolutely wonderful,1
Perfect!,1
Fantastic product,1
Highly recommended,1
Amazing experience,1
Terrible product,0
Poor quality,0
Highly recommended,1
Amazing experience,1
I love this,1
One star,0
Top quality,1
Perfect!,1
Very disappointing,0
Absolutely wonderful,1
Perfect!,1
Five stars,1
One star,0
Worst ever,0
Top quality,1
Awful experience,0
I love this,1
Very dissatisfied,0
One star,0
Terrible product,0
Worst ever,0
Perfect!,1
Very dissatisfied,0
Super happy,1
Highly recommended,1
One star,0
Top quality,1
Highly recommended,1
So satisfied,1
Amazing experience,1
Awful experience,0
Would not recommend,0
Very disappointing,0
Awful experience,0
Perfect!,1
Terrible product,0
Five stars,1
Awful experience,0
Not worth it,0
Amazing experience,1
Poor quality,0
Very disappointing,0
One star,0
Awful experience,0
Terrible product,0
Super happy,1
Absolutely wonderful,1
So satisfied,1
Very dissatisfied,0
